State,millionTonsOfCO2,gCo2,gCo2pkWh
Alabama,109.3,1202300000,0
Alaska,41.3,454299999.99999994,0
Arizona,81.4,895400000.0000001,0
Arkansas,63.2,695200000,0
California,326.2,3588200000,0
Colorado,88.7,975700000,0
Connecticut,37,407000000,0
Delaware,12.7,139700000,0
District of Columbia,2.6,28600000,0
Florida,231,2541000000,0
Georgia,124.8,1372800000,0
Hawaii,18.1,199100000.00000003,0
Idaho,20.7,227700000,0
Illinois,183.7,2020699999.9999998,0
Indiana,163.2,1795199999.9999998,0
Iowa,71.5,786500000,0
Kansas,62.1,683100000,0
Kentucky,109.6,1205600000,0
Louisiana,191.8,2109800000.0000002,0
Maine,14.9,163900000,0
Maryland,50.6,556600000,0
Massachusetts,59.2,651200000,0
Michigan,154,1694000000,0
Minnesota,84.4,928400000.0000001,0
Mississippi,65.1,716099999.9999999,0
Missouri,112.9,1241900000,0
Montana,29.5,324500000,0
Nebraska,48.1,529100000,0
Nevada,40.4,444400000,0
New Hampshire,13.8,151800000,0
New Jersey,92.5,1017500000,0
New Mexico,46.5,511500000,0
New York,166.1,1827100000,0
North Carolina,116.6,1282600000,0
North Dakota,57,627000000,0
Ohio,196.2,2158200000,0
Oklahoma,87.1,958099999.9999999,0
Oregon,37.6,413600000,0
Pennsylvania,213.5,2348500000,0
Rhode Island,10.2,112199999.99999999,0
South Carolina,67.3,740300000,0
South Dakota,15.6,171600000,0
Tennessee,91.1,1002099999.9999999,0
Texas,663,7293000000,0
Utah,60.1,661100000,0
Vermont,5.5,60500000,0
Virginia,96.2,1058200000,0
Washington,74.7,821700000,0
West Virginia,79.2,871200000,0
Wisconsin,90.6,996599999.9999999,0
Wyoming,56.2,618200000,0
Total of states,NA,NA,0
"Source:  U.S. Energy Information Administration, State Energy Data System (SEDS) and EIA calculations made for this analysis.",NA,NA,0
,NA,NA,0
,NA,NA,0
